fra;deb_periode;flash_variants;n;n_tot
FR;2021-02-15;1;117;256
FR;2021-02-15;2;0;256
FR;2021-02-15;3;18;256
FR;2021-02-15;4;0;256
FR;2021-02-15;5;1;256
FR;2021-02-15;6;0;256
FR;2021-02-15;7;120;256
FR;2021-03-01;1;796;1167
FR;2021-03-01;2;0;1167
FR;2021-03-01;3;65;1167
FR;2021-03-01;4;1;1167
FR;2021-03-01;5;1;1167
FR;2021-03-01;6;0;1167
FR;2021-03-01;7;304;1167
FR;2021-03-15;1;1890;2297
FR;2021-03-15;2;0;2297
FR;2021-03-15;3;149;2297
FR;2021-03-15;4;0;2297
FR;2021-03-15;5;9;2297
FR;2021-03-15;6;0;2297
FR;2021-03-15;7;249;2297
FR;2021-03-30;1;1323;1588
FR;2021-03-30;2;0;1588
FR;2021-03-30;3;108;1588
FR;2021-03-30;4;0;1588
FR;2021-03-30;5;4;1588
FR;2021-03-30;6;0;1588
FR;2021-03-30;7;153;1588
FR;2021-04-14;1;1390;1562
FR;2021-04-14;2;0;1562
FR;2021-04-14;3;79;1562
FR;2021-04-14;4;0;1562
FR;2021-04-14;5;4;1562
FR;2021-04-14;6;0;1562
FR;2021-04-14;7;89;1562
FR;2021-04-26;1;1506;1741
FR;2021-04-26;2;0;1741
FR;2021-04-26;3;152;1741
FR;2021-04-26;4;2;1741
FR;2021-04-26;5;13;1741
FR;2021-04-26;6;0;1741
FR;2021-04-26;7;68;1741
FR;2021-05-10;1;1306;1496
FR;2021-05-10;2;0;1496
FR;2021-05-10;3;135;1496
FR;2021-05-10;4;3;1496
FR;2021-05-10;5;7;1496
FR;2021-05-10;6;0;1496
FR;2021-05-10;7;45;1496
FR;2021-05-27;1;1409;1588
FR;2021-05-27;2;0;1588
FR;2021-05-27;3;83;1588
FR;2021-05-27;4;14;1588
FR;2021-05-27;5;17;1588
FR;2021-05-27;6;0;1588
FR;2021-05-27;7;65;1588
FR;2021-06-07;1;595;751
FR;2021-06-07;2;0;751
FR;2021-06-07;3;70;751
FR;2021-06-07;4;65;751
FR;2021-06-07;5;3;751
FR;2021-06-07;6;0;751
FR;2021-06-07;7;18;751
FR;2021-06-21;1;319;639
FR;2021-06-21;2;0;639
FR;2021-06-21;3;97;639
FR;2021-06-21;4;207;639
FR;2021-06-21;5;3;639
FR;2021-06-21;6;0;639
FR;2021-06-21;7;13;639
FR;2021-06-28;1;267;717
FR;2021-06-28;2;0;717
FR;2021-06-28;3;117;717
FR;2021-06-28;4;309;717
FR;2021-06-28;5;12;717
FR;2021-06-28;6;0;717
FR;2021-06-28;7;12;717
FR;2021-07-05;1;299;1232
FR;2021-07-05;2;0;1232
FR;2021-07-05;3;121;1232
FR;2021-07-05;4;782;1232
FR;2021-07-05;5;16;1232
FR;2021-07-05;6;0;1232
FR;2021-07-05;7;14;1232
FR;2021-07-12;1;270;2506
FR;2021-07-12;2;0;2506
FR;2021-07-12;3;130;2506
FR;2021-07-12;4;2042;2506
FR;2021-07-12;5;46;2506
FR;2021-07-12;6;0;2506
FR;2021-07-12;7;18;2506
FR;2021-07-19;1;265;5244
FR;2021-07-19;2;0;5244
FR;2021-07-19;3;82;5244
FR;2021-07-19;4;4869;5244
FR;2021-07-19;5;17;5244
FR;2021-07-19;6;0;5244
FR;2021-07-19;7;11;5244
FR;2021-07-26;1;128;4880
FR;2021-07-26;2;0;4880
FR;2021-07-26;3;62;4880
FR;2021-07-26;4;4663;4880
FR;2021-07-26;5;17;4880
FR;2021-07-26;6;0;4880
FR;2021-07-26;7;10;4880
FR;2021-08-02;1;88;4336
FR;2021-08-02;2;0;4336
FR;2021-08-02;3;62;4336
FR;2021-08-02;4;4169;4336
FR;2021-08-02;5;14;4336
FR;2021-08-02;6;0;4336
FR;2021-08-02;7;3;4336
FR;2021-08-09;1;47;4944
FR;2021-08-09;2;0;4944
FR;2021-08-09;3;39;4944
FR;2021-08-09;4;4846;4944
FR;2021-08-09;5;4;4944
FR;2021-08-09;6;0;4944
FR;2021-08-09;7;8;4944
FR;2021-08-16;1;25;4281
FR;2021-08-16;2;0;4281
FR;2021-08-16;3;19;4281
FR;2021-08-16;4;4228;4281
FR;2021-08-16;5;4;4281
FR;2021-08-16;6;0;4281
FR;2021-08-16;7;5;4281
FR;2021-08-23;1;8;3705
FR;2021-08-23;2;0;3705
FR;2021-08-23;3;10;3705
FR;2021-08-23;4;3685;3705
FR;2021-08-23;5;1;3705
FR;2021-08-23;6;0;3705
FR;2021-08-23;7;1;3705
FR;2021-08-30;1;9;3154
FR;2021-08-30;2;0;3154
FR;2021-08-30;3;8;3154
FR;2021-08-30;4;3128;3154
FR;2021-08-30;5;2;3154
FR;2021-08-30;6;0;3154
FR;2021-08-30;7;7;3154
FR;2021-09-06;1;5;3065
FR;2021-09-06;2;0;3065
FR;2021-09-06;3;1;3065
FR;2021-09-06;4;3058;3065
FR;2021-09-06;5;1;3065
FR;2021-09-06;6;0;3065
FR;2021-09-06;7;0;3065
FR;2021-09-13;1;1;1887
FR;2021-09-13;2;0;1887
FR;2021-09-13;3;0;1887
FR;2021-09-13;4;1885;1887
FR;2021-09-13;5;1;1887
FR;2021-09-13;6;0;1887
FR;2021-09-13;7;0;1887
FR;2021-09-20;1;0;1617
FR;2021-09-20;2;0;1617
FR;2021-09-20;3;0;1617
FR;2021-09-20;4;1616;1617
FR;2021-09-20;5;0;1617
FR;2021-09-20;6;0;1617
FR;2021-09-20;7;1;1617
FR;2021-09-27;1;0;1295
FR;2021-09-27;2;0;1295
FR;2021-09-27;3;0;1295
FR;2021-09-27;4;1295;1295
FR;2021-09-27;5;0;1295
FR;2021-09-27;6;0;1295
FR;2021-09-27;7;0;1295
FR;2021-10-04;1;0;1377
FR;2021-10-04;2;0;1377
FR;2021-10-04;3;0;1377
FR;2021-10-04;4;1376;1377
FR;2021-10-04;5;0;1377
FR;2021-10-04;6;0;1377
FR;2021-10-04;7;1;1377
FR;2021-10-11;1;0;1790
FR;2021-10-11;2;1;1790
FR;2021-10-11;3;0;1790
FR;2021-10-11;4;1788;1790
FR;2021-10-11;5;0;1790
FR;2021-10-11;6;0;1790
FR;2021-10-11;7;1;1790
FR;2021-10-18;1;0;3810
FR;2021-10-18;2;2;3810
FR;2021-10-18;3;0;3810
FR;2021-10-18;4;3808;3810
FR;2021-10-18;5;0;3810
FR;2021-10-18;6;0;3810
FR;2021-10-18;7;0;3810
FR;2021-10-25;1;1;8305
FR;2021-10-25;2;8;8305
FR;2021-10-25;3;0;8305
FR;2021-10-25;4;8295;8305
FR;2021-10-25;5;0;8305
FR;2021-10-25;6;0;8305
FR;2021-10-25;7;1;8305
FR;2021-11-01;1;0;7468
FR;2021-11-01;2;21;7468
FR;2021-11-01;3;0;7468
FR;2021-11-01;4;7446;7468
FR;2021-11-01;5;0;7468
FR;2021-11-01;6;0;7468
FR;2021-11-01;7;1;7468
FR;2021-11-08;1;0;6397
FR;2021-11-08;2;10;6397
FR;2021-11-08;3;0;6397
FR;2021-11-08;4;6385;6397
FR;2021-11-08;5;0;6397
FR;2021-11-08;6;0;6397
FR;2021-11-08;7;2;6397
FR;2021-11-15;1;1;8004
FR;2021-11-15;2;9;8004
FR;2021-11-15;3;0;8004
FR;2021-11-15;4;7994;8004
FR;2021-11-15;5;0;8004
FR;2021-11-15;6;0;8004
FR;2021-11-15;7;0;8004
FR;2021-11-22;1;0;5537
FR;2021-11-22;2;18;5537
FR;2021-11-22;3;0;5537
FR;2021-11-22;4;5513;5537
FR;2021-11-22;5;0;5537
FR;2021-11-22;6;4;5537
FR;2021-11-22;7;2;5537
FR;2021-11-29;1;0;6546
FR;2021-11-29;2;27;6546
FR;2021-11-29;3;0;6546
FR;2021-11-29;4;6502;6546
FR;2021-11-29;5;0;6546
FR;2021-11-29;6;15;6546
FR;2021-11-29;7;2;6546
FR;2021-12-06;1;0;5265
FR;2021-12-06;2;26;5265
FR;2021-12-06;3;0;5265
FR;2021-12-06;4;5167;5265
FR;2021-12-06;5;0;5265
FR;2021-12-06;6;71;5265
FR;2021-12-06;7;1;5265
FR;2021-12-13;1;0;5078
FR;2021-12-13;2;27;5078
FR;2021-12-13;3;0;5078
FR;2021-12-13;4;4572;5078
FR;2021-12-13;5;0;5078
FR;2021-12-13;6;479;5078
FR;2021-12-13;7;0;5078
FR;2021-12-20;1;0;4135
FR;2021-12-20;2;7;4135
FR;2021-12-20;3;0;4135
FR;2021-12-20;4;2432;4135
FR;2021-12-20;5;0;4135
FR;2021-12-20;6;1692;4135
FR;2021-12-20;7;4;4135
FR;2021-12-27;1;0;7674
FR;2021-12-27;2;14;7674
FR;2021-12-27;3;0;7674
FR;2021-12-27;4;2584;7674
FR;2021-12-27;5;0;7674
FR;2021-12-27;6;5074;7674
FR;2021-12-27;7;2;7674
FR;2022-01-03;1;0;4266
FR;2022-01-03;2;3;4266
FR;2022-01-03;3;0;4266
FR;2022-01-03;4;677;4266
FR;2022-01-03;5;0;4266
FR;2022-01-03;6;3581;4266
FR;2022-01-03;7;5;4266
FR;2022-01-10;1;0;4762
FR;2022-01-10;2;3;4762
FR;2022-01-10;3;0;4762
FR;2022-01-10;4;284;4762
FR;2022-01-10;5;0;4762
FR;2022-01-10;6;4473;4762
FR;2022-01-10;7;2;4762
FR;2022-01-17;1;0;5038
FR;2022-01-17;2;0;5038
FR;2022-01-17;3;0;5038
FR;2022-01-17;4;141;5038
FR;2022-01-17;5;0;5038
FR;2022-01-17;6;4896;5038
FR;2022-01-17;7;1;5038
FR;2022-01-24;1;0;4398
FR;2022-01-24;2;0;4398
FR;2022-01-24;3;0;4398
FR;2022-01-24;4;47;4398
FR;2022-01-24;5;0;4398
FR;2022-01-24;6;4348;4398
FR;2022-01-24;7;3;4398
FR;2022-01-31;1;0;3576
FR;2022-01-31;2;0;3576
FR;2022-01-31;3;0;3576
FR;2022-01-31;4;20;3576
FR;2022-01-31;5;0;3576
FR;2022-01-31;6;3554;3576
FR;2022-01-31;7;2;3576
FR;2022-02-07;1;0;3939
FR;2022-02-07;2;0;3939
FR;2022-02-07;3;0;3939
FR;2022-02-07;4;16;3939
FR;2022-02-07;5;0;3939
FR;2022-02-07;6;3922;3939
FR;2022-02-07;7;1;3939
FR;2022-02-14;1;0;1836
FR;2022-02-14;2;0;1836
FR;2022-02-14;3;0;1836
FR;2022-02-14;4;7;1836
FR;2022-02-14;5;0;1836
FR;2022-02-14;6;1829;1836
FR;2022-02-14;7;0;1836
FR;2022-02-21;1;0;886
FR;2022-02-21;2;0;886
FR;2022-02-21;3;0;886
FR;2022-02-21;4;1;886
FR;2022-02-21;5;0;886
FR;2022-02-21;6;885;886
FR;2022-02-21;7;0;886
