fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2021-11-01-2021-11-07;63710.00;498.00;0.78;465.00;0.00;0.00;13.00;453.00;97.21;30.00;1.00;3.23;13.00;465.00;2.80
FR;2021-11-02-2021-11-08;79061.00;727.00;0.92;690.00;0.00;0.00;15.00;677.00;97.83;34.00;2.00;5.56;15.00;690.00;2.17
FR;2021-11-03-2021-11-09;78336.00;808.00;1.03;767.00;0.00;0.00;16.00;753.00;97.92;32.00;1.00;3.03;15.00;767.00;1.96
FR;2021-11-04-2021-11-10;82143.00;932.00;1.13;883.00;0.00;0.00;25.00;860.00;97.18;25.00;3.00;10.71;24.00;883.00;2.72
FR;2021-11-05-2021-11-11;74504.00;860.00;1.15;819.00;0.00;0.00;24.00;797.00;97.08;27.00;3.00;10.00;23.00;819.00;2.81
FR;2021-11-06-2021-11-12;83476.00;926.00;1.11;887.00;0.00;0.00;29.00;860.00;96.74;43.00;4.00;8.51;28.00;887.00;3.16
FR;2021-11-07-2021-11-13;87136.00;982.00;1.13;939.00;0.00;0.00;29.00;912.00;96.92;47.00;4.00;7.84;28.00;939.00;2.98
FR;2021-11-08-2021-11-14;88227.00;1001.00;1.13;957.00;0.00;0.00;29.00;930.00;96.98;48.00;4.00;7.69;28.00;957.00;2.93
FR;2021-11-09-2021-11-15;99036.00;1217.00;1.23;1156.00;0.00;0.00;34.00;1127.00;97.07;53.00;3.00;5.36;33.00;1155.00;2.86
FR;2021-11-10-2021-11-16;108944.00;1545.00;1.42;1471.00;0.00;0.00;35.00;1442.00;97.63;54.00;3.00;5.26;35.00;1470.00;2.38
FR;2021-11-11-2021-11-17;118701.00;1827.00;1.54;1743.00;0.00;0.00;27.00;1726.00;98.46;64.00;1.00;1.54;27.00;1742.00;1.55
FR;2021-11-12-2021-11-18;141560.00;1942.00;1.37;1844.00;0.00;0.00;32.00;1824.00;98.28;65.00;3.00;4.41;32.00;1843.00;1.74
