reg;nom_reg;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
84;Auvergne-Rhône-Alpes;2021-11-01-2021-11-07;7219.00;26.00;0.36;23.00;0.00;0.00;0.00;24.00;100.00;1.00;0.00;0.00;0.00;23.00;0.00
84;Auvergne-Rhône-Alpes;2021-11-02-2021-11-08;9137.00;29.00;0.32;26.00;0.00;0.00;0.00;27.00;100.00;1.00;0.00;0.00;0.00;26.00;0.00
84;Auvergne-Rhône-Alpes;2021-11-03-2021-11-09;9078.00;39.00;0.43;36.00;0.00;0.00;1.00;35.00;97.22;1.00;0.00;0.00;1.00;36.00;2.78
84;Auvergne-Rhône-Alpes;2021-11-04-2021-11-10;9725.00;63.00;0.65;60.00;0.00;0.00;3.00;57.00;95.00;1.00;0.00;0.00;3.00;60.00;5.00
84;Auvergne-Rhône-Alpes;2021-11-05-2021-11-11;8809.00;59.00;0.67;57.00;0.00;0.00;3.00;54.00;94.74;1.00;0.00;0.00;3.00;57.00;5.26
84;Auvergne-Rhône-Alpes;2021-11-06-2021-11-12;10177.00;63.00;0.62;61.00;0.00;0.00;4.00;57.00;93.44;1.00;0.00;0.00;4.00;61.00;6.56
84;Auvergne-Rhône-Alpes;2021-11-07-2021-11-13;10649.00;73.00;0.69;71.00;0.00;0.00;5.00;66.00;92.96;0.00;0.00;0.00;5.00;71.00;7.04
84;Auvergne-Rhône-Alpes;2021-11-08-2021-11-14;10756.00;71.00;0.66;70.00;0.00;0.00;5.00;65.00;92.86;0.00;0.00;0.00;5.00;70.00;7.14
84;Auvergne-Rhône-Alpes;2021-11-09-2021-11-15;12255.00;109.00;0.89;108.00;0.00;0.00;5.00;103.00;95.37;0.00;0.00;0.00;5.00;108.00;4.63
84;Auvergne-Rhône-Alpes;2021-11-10-2021-11-16;13743.00;122.00;0.89;122.00;0.00;0.00;5.00;117.00;95.90;0.00;0.00;0.00;5.00;122.00;4.10
84;Auvergne-Rhône-Alpes;2021-11-11-2021-11-17;15125.00;120.00;0.79;119.00;0.00;0.00;3.00;116.00;97.48;1.00;0.00;0.00;3.00;119.00;2.52
84;Auvergne-Rhône-Alpes;2021-11-12-2021-11-18;18383.00;134.00;0.73;131.00;0.00;0.00;3.00;129.00;97.73;1.00;0.00;0.00;3.00;131.00;2.29
84;Auvergne-Rhône-Alpes;2021-11-13-2021-11-19;19658.00;142.00;0.72;139.00;0.00;0.00;3.00;137.00;97.86;1.00;0.00;0.00;3.00;139.00;2.16
84;Auvergne-Rhône-Alpes;2021-11-14-2021-11-20;20912.00;149.00;0.71;144.00;0.00;0.00;3.00;142.00;97.93;1.00;0.00;0.00;3.00;144.00;2.08
84;Auvergne-Rhône-Alpes;2021-11-15-2021-11-21;21089.00;160.00;0.76;155.00;0.00;0.00;4.00;152.00;97.44;1.00;0.00;0.00;4.00;155.00;2.58
84;Auvergne-Rhône-Alpes;2021-11-16-2021-11-22;23991.00;168.00;0.70;161.00;0.00;0.00;5.00;157.00;96.91;1.00;0.00;0.00;5.00;161.00;3.11
84;Auvergne-Rhône-Alpes;2021-11-17-2021-11-23;26544.00;171.00;0.64;163.00;0.00;0.00;7.00;157.00;95.73;2.00;0.00;0.00;7.00;163.00;4.29
84;Auvergne-Rhône-Alpes;2021-11-18-2021-11-24;29377.00;166.00;0.57;158.00;0.00;0.00;9.00;150.00;94.34;2.00;0.00;0.00;9.00;158.00;5.70
84;Auvergne-Rhône-Alpes;2021-11-19-2021-11-25;32277.00;220.00;0.68;212.00;0.00;0.00;11.00;202.00;94.84;2.00;0.00;0.00;11.00;212.00;5.19
84;Auvergne-Rhône-Alpes;2021-11-20-2021-11-26;35284.00;375.00;1.06;356.00;0.00;0.00;11.00;346.00;96.92;2.00;0.00;0.00;11.00;355.00;3.10
84;Auvergne-Rhône-Alpes;2021-11-21-2021-11-27;37264.00;462.00;1.24;441.00;0.00;0.00;12.00;430.00;97.29;2.00;1.00;33.33;12.00;440.00;2.73
84;Auvergne-Rhône-Alpes;2021-11-22-2021-11-28;37749.00;477.00;1.26;453.00;0.00;0.00;12.00;443.00;97.36;2.00;1.00;33.33;12.00;452.00;2.65
84;Auvergne-Rhône-Alpes;2021-11-23-2021-11-29;42183.00;1118.00;2.65;1065.00;1.00;0.09;19.00;1053.00;98.23;59.00;4.00;6.35;19.00;1065.00;1.78
84;Auvergne-Rhône-Alpes;2021-11-24-2021-11-30;46003.00;2008.00;4.36;1900.00;1.00;0.05;24.00;1888.00;98.74;171.00;4.00;2.29;24.00;1900.00;1.26
84;Auvergne-Rhône-Alpes;2021-11-25-2021-12-01;49310.00;3247.00;6.58;3079.00;3.00;0.10;32.00;3066.00;98.97;294.00;8.00;2.65;32.00;3081.00;1.04
84;Auvergne-Rhône-Alpes;2021-11-26-2021-12-02;53055.00;4670.00;8.80;4421.00;4.00;0.09;37.00;4411.00;99.17;873.00;10.00;1.13;37.00;4424.00;0.84
84;Auvergne-Rhône-Alpes;2021-11-27-2021-12-03;56614.00;6062.00;10.71;5713.00;10.00;0.17;45.00;5715.00;99.22;1458.00;13.00;0.88;45.00;5723.00;0.79
84;Auvergne-Rhône-Alpes;2021-11-28-2021-12-04;58396.00;6751.00;11.56;6319.00;11.00;0.17;45.00;6334.00;99.29;1682.00;13.00;0.77;45.00;6330.00;0.71
